pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,st_teff,sy_dist
Kepler-1167 b,Kepler-1167,Transit,2016.0,1.003933739,1.71,3.57,4971.0,820.905
Kepler-1740 b,Kepler-1740,Transit,2021.0,8.172400475,3.32321414,11.0,5705.0,1061.77
Kepler-1581 b,Kepler-1581,Transit,2016.0,6.28385491,0.8,0.437,6022.0,493.175
Kepler-644 b,Kepler-644,Transit,2016.0,3.173917103,3.15,10.1,6747.0,1318.05
Kepler-1752 b,Kepler-1752,Transit,2021.0,56.35850143,4.54060463,18.7,5446.0,962.888
Kepler-280 c,Kepler-280,Transit,2014.0,4.807091,2.01,4.7,5744.0,780.361
Kepler-1208 b,Kepler-1208,Transit,2016.0,11.08507637,2.32,5.99,5001.0,825.176
Kepler-263 c,Kepler-263,Transit,2014.0,47.332773,2.47,6.66,5265.0,754.747
Kepler-1101 b,Kepler-1101,Transit,2016.0,81.3151059,2.47,6.66,5614.0,742.473
HD 168746 b,HD 168746,Radial Velocity,2002.0,6.404,11.1,85.8141,5570.0,41.5681
WASP-107 c,WASP-107,Radial Velocity,2020.0,1066.0,13.0,111.23994245,4425.0,64.7414
Kepler-560 b,Kepler-560,Transit,2016.0,18.47764449,1.72,3.61,3556.0,109.308
Kepler-150 d,Kepler-150,Transit,2014.0,12.56093,2.79,8.2,5560.0,891.092
Kepler-498 b,Kepler-498,Transit,2016.0,9.61375356,3.03,9.43,5744.0,938.844
Kepler-817 b,Kepler-817,Transit,2016.0,3.990106229,9.03,60.2,5861.0,1484.46
Kepler-937 b,Kepler-937,Transit,2016.0,67.668827,3.72,13.4,6095.0,1571.46
K2-10 b,K2-10,Transit,2015.0,19.30553,3.773,25.2,5533.0,272.36
Kepler-571 b,Kepler-571,Transit,2016.0,4.798599388,2.64,7.46,5527.0,723.875
Kepler-1458 b,Kepler-1458,Transit,2016.0,47.9872764,2.76,8.05,5653.0,544.45
K2-335 b,K2-335,Transit,2021.0,12.283211,2.21,5.52,6222.0,557.993
Kepler-1600 c,Kepler-1600,Transit,2021.0,7.298049927,1.94206512,4.43,5119.0,1030.81
Kepler-221 d,Kepler-221,Transit,2014.0,10.04156,2.73,3.61,5243.0,385.231
Kepler-626 b,Kepler-626,Transit,2016.0,14.48585199,2.29,5.86,5813.0,635.643
Kepler-1549 b,Kepler-1549,Transit,2016.0,214.886545,2.57,7.13,5324.0,803.052
K2-62 c,K2-62,Transit,2016.0,16.19697,1.99,4.62,4455.0,112.467
Kepler-1149 b,Kepler-1149,Transit,2016.0,3.73089898,1.44,2.67,5833.0,1217.73
Kepler-1288 b,Kepler-1288,Transit,2016.0,2.76122421,1.12,1.46,6132.0,814.078
Kepler-128 b,Kepler-128,Transit,2013.0,15.0,1.421,3.79,6072.0,396.379
Kepler-1245 b,Kepler-1245,Transit,2016.0,4.35409304,1.44,2.67,5306.0,805.936
Kepler-1068 b,Kepler-1068,Transit,2016.0,16.92344113,3.63,12.8,5806.0,1473.61
Kepler-311 c,Kepler-311,Transit,2014.0,19.738286,1.43,2.63,5905.0,778.654
Kepler-150 e,Kepler-150,Transit,2014.0,30.826557,3.12,9.91,5560.0,891.092
Kepler-272 c,Kepler-272,Transit,2014.0,6.057342,1.79,97.8,5297.0,889.608
Kepler-152 c,Kepler-152,Transit,2014.0,88.255055,2.39,6.3,5088.0,441.09
Kepler-1506 b,Kepler-1506,Transit,2016.0,14.0329154,1.32,2.3,5676.0,2366.02
CoRoT-3 b,CoRoT-3,Transit,2008.0,4.2568,11.32,6883.91,6740.0,768.771
HD 205739 b,HD 205739,Radial Velocity,2008.0,279.8,13.6,435.41,6176.0,92.5087
NGTS-10 b,NGTS-10,Transit,2020.0,0.7668944,13.506845,687.14846,4600.0,324.69865036
HD 224693 b,HD 224693,Radial Velocity,2006.0,26.6904,14.0,222.481,5894.0,93.5015
HD 156279 b,HD 156279,Radial Velocity,2011.0,133.40355,12.5,2997.75753482,5453.0,36.1945
HD 12661 b,HD 12661,Radial Velocity,2000.0,262.70862,13.3,772.3269,5645.0,37.8478
HD 16417 b,HD 16417,Radial Velocity,2008.0,17.24,5.0,22.1,5841.0,25.3936
HD 19994 b,HD 19994,Radial Velocity,2003.0,466.2,13.6,435.41,6188.0,22.5242
HD 156279 c,HD 156279,Radial Velocity,2018.0,4818.25358,12.5,3098.82696825,5453.0,36.1945
GJ 179 b,GJ 179,Radial Velocity,2009.0,2288.0,13.8,301.93698665,3370.0,12.356
GJ 832 b,GJ 832,Radial Velocity,2008.0,3853.0,13.8,314.65012293,3472.0,4.96435
HD 37605 b,HD 37605,Radial Velocity,2004.0,55.01292,13.2,854.9627,5329.0,46.7864
HD 33283 b,HD 33283,Radial Velocity,2006.0,18.1991,12.5,104.56607,5935.0,89.8623
HD 9446 b,HD 9446,Radial Velocity,2009.0,30.052,14.0,222.472,5793.0,50.3503
HD 134987 c,HD 134987,Radial Velocity,2009.0,5000.0,13.9,260.0,5585.0,26.1804
HD 110014 b,HD 110014,Radial Velocity,2009.0,835.477,12.4,3524.59,4445.0,100.758
HD 79498 b,HD 79498,Radial Velocity,2011.0,1807.0,13.6,425.8922,5748.0,48.9489
HD 45652 b,HD 45652,Radial Velocity,2008.0,44.073,14.3,137.62039,5294.0,34.8541
HIP 79431 b,HIP 79431,Radial Velocity,2009.0,111.7,13.4,667.415,3191.0,14.5324
HD 3167 b,HD 3167,Transit,2016.0,0.959641,1.67,4.97,5261.0,47.2899
GJ 876 b,GJ 876,Radial Velocity,1998.0,61.1166,13.3,723.2235,3293.74,4.67517
HD 114783 c,HD 114783,Radial Velocity,2018.0,4352.0,13.4,603.8739733,5135.0,21.0628
HD 47186 c,HD 47186,Radial Velocity,2008.0,1353.6,13.0,111.42,5657.0,37.4574
HD 114783 b,HD 114783,Radial Velocity,2001.0,493.7,13.7,349.6,5135.0,21.0628
HD 148156 b,HD 148156,Radial Velocity,2009.0,1027.0,13.9,270.144,6308.0,57.1289
HD 12661 c,HD 12661,Radial Velocity,2002.0,1708.0,13.2,899.45439181,5748.0,37.8478
HIP 14810 c,HIP 14810,Radial Velocity,2006.0,147.747,13.6,416.3573,5544.0,50.48
HIP 14810 b,HIP 14810,Radial Velocity,2005.0,6.673892,13.0,1239.537,5544.0,50.48
GJ 876 d,GJ 876,Radial Velocity,2005.0,1.93778,2.51,6.83,3293.74,4.67517
GJ 876 e,GJ 876,Radial Velocity,2010.0,124.26,3.92,14.6,3293.74,4.67517
gam1 Leo b,gam1 Leo,Radial Velocity,2009.0,428.5,12.5,2790.43,4330.0,39.8883
HD 156411 b,HD 156411,Radial Velocity,2009.0,842.2,14.0,235.18,5900.0,56.8655
HD 8535 b,HD 8535,Radial Velocity,2010.0,1313.0,14.0,216.1244,6136.0,55.4401
HD 37605 c,HD 37605,Radial Velocity,2012.0,2720.0,13.1,1013.8777,5329.0,46.7864
HD 1605 c,HD 1605,Radial Velocity,2015.0,2149.0,13.0,1150.5446,4915.0,88.8047
BD+20 2457 b,BD+20 2457,Radial Velocity,2009.0,379.63,12.1,6807.63,4137.0,1539.71
HD 240210 b,HD 240210,Radial Velocity,2009.0,501.75,12.8,1655.82,4297.0,372.405
CoRoT-17 b,CoRoT-17,Transit,2011.0,3.7681,11.43,772.29,5740.0,1176.12
HD 132563 b,HD 132563,Radial Velocity,2011.0,1544.0,13.6,473.547,6289.0,105.155
HD 55696 b,HD 55696,Radial Velocity,2018.0,1827.0,12.9,1357.12729789,6012.0,77.9693
HD 148164 b,HD 148164,Radial Velocity,2018.0,328.55,13.7,390.9309,6032.0,77.1971
24 Sex c,24 Sex,Radial Velocity,2010.0,883.0,13.9,273.32,5098.0,72.0691
HD 22781 b,HD 22781,Radial Velocity,2011.0,528.07,12.3,4338.2,5027.0,32.6034
HD 68988 b,HD 68988,Radial Velocity,2001.0,6.27711,13.4,626.1251,5932.0,60.8447
HD 148164 c,HD 148164,Radial Velocity,2018.0,5062.0,12.8,1640.0028,6032.0,77.1971
HD 29985 b,HD 29985,Radial Velocity,2022.0,20608.14049,12.8,1739.47487151,4678.0,31.2707
HD 3167 c,HD 3167,Transit,2016.0,29.8454,3.0,11.13,5261.0,47.2899
HD 90156 b,HD 90156,Radial Velocity,2009.0,49.77,4.43,17.98,5599.0,21.9496
HD 45350 b,HD 45350,Radial Velocity,2004.0,963.6,13.5,568.89,5566.0,46.8733
MOA-2009-BLG-266L b,MOA-2009-BLG-266L,Microlensing,2011.0,2800.0,3.21,10.4,,3040.0
Kepler-595 c,Kepler-595,Transit,2020.0,12.38602,1.009,3.3,5138.5,643.009
Kepler-595 b,Kepler-595,Transit,2016.0,25.3029092,3.708,17.4,5138.5,643.009
HD 177830 c,HD 177830,Radial Velocity,2010.0,110.9,7.87,47.6725,4949.0,62.7674
OGLE-TR-111 b,OGLE-TR-111,Transit,2004.0,4.0144463,11.421971,174.799,5040.0,1068.33
PSR B1257+12 b,PSR B1257+12,Pulsar Timing,1994.0,25.262,0.338,0.02,,600.0
PSR B1257+12 d,PSR B1257+12,Pulsar Timing,1992.0,98.2114,1.8,3.9,,600.0
CoRoT-18 b,CoRoT-18,Transit,2011.0,1.9000693,14.68,1102.82,5440.0,764.889
Kepler-45 b,Kepler-45,Transit,2011.0,2.455239,10.76,160.497,3820.0,381.949
WASP-23 b,WASP-23,Transit,2010.0,2.9444256,10.783,280.95,5150.0,207.49
HD 107148 b,HD 107148,Radial Velocity,2005.0,48.056,9.6,66.741,5797.0,49.4156
SWEEPS-11 b,SWEEPS-11,Transit,2006.0,1.796,12.666,3082.82,,8500.0
OGLE-TR-211 b,OGLE-TR-211,Transit,2007.0,3.67724,15.244,327.351,6325.0,1515.26
Lupus-TR-3 b,Lupus-TR-3,Transit,2007.0,3.91405,9.976,257.431,5000.0,773.409
OGLE-2005-BLG-390L b,OGLE-2005-BLG-390L,Microlensing,2005.0,3285.0,2.21,5.5,,6600.0
MOA-2009-BLG-387L b,MOA-2009-BLG-387L,Microlensing,2010.0,1980.0,13.2,830.0,,5690.0
GJ 674 b,GJ 674,Radial Velocity,2007.0,4.6938,3.33,11.09,3600.0,4.54896
CoRoT-11 b,CoRoT-11,Transit,2010.0,2.99433,16.03,740.51,6440.0,655.037
GJ 3634 b,GJ 3634,Radial Velocity,2010.0,2.64561,2.83,8.4,3517.0,20.3779
CoRoT-13 b,CoRoT-13,Transit,2010.0,4.03519,9.92,415.704,5945.0,1148.93
OGLE-TR-10 b,OGLE-TR-10,Transit,2004.0,3.101278,14.011,197.046,5950.0,1344.97
HD 27442 b,HD 27442,Radial Velocity,2000.0,428.1,13.5,495.8,4846.0,18.2704
GJ 3021 b,GJ 3021,Radial Velocity,2000.0,133.71,13.1,1071.04,5540.0,17.5559
CoRoT-8 b,CoRoT-8,Transit,2010.0,6.21229,6.39,69.92,5080.0,322.037
Kepler-18 c,Kepler-18,Transit,2011.0,7.64159,5.49,17.3,5345.0,433.047
Kepler-18 b,Kepler-18,Transit,2011.0,3.504725,2.0,6.9,5345.0,433.047
HD 46375 b,HD 46375,Radial Velocity,2000.0,3.023573,10.0,71.8,5285.0,29.5529
HD 136352 d,HD 136352,Radial Velocity,2019.0,107.245,2.562,8.82,5664.0,14.682
HD 221287 b,HD 221287,Radial Velocity,2007.0,456.1,13.1,982.05,6304.0,55.9231
HD 33564 b,HD 33564,Radial Velocity,2005.0,388.0,12.5,2892.1,6250.0,20.9531
HD 189733 b,HD 189733,Radial Velocity,2005.0,2.21857567,12.66617,359.1479,5052.0,19.7638
WASP-107 b,WASP-107,Transit,2017.0,5.7214876,10.53646,30.51152707,4425.0,64.7414
Kepler-4 b,Kepler-4,Transit,2009.0,3.21346,4.002,24.472,5857.0,487.916
WASP-38 b,WASP-38,Transit,2010.0,6.87188,13.78707,1093.3352,6180.0,136.24
HAT-P-13 c,HAT-P-13,Radial Velocity,2009.0,446.27,12.3,4538.421,5653.0,246.81
Kepler-18 d,Kepler-18,Transit,2011.0,14.85888,6.98,16.4,5345.0,433.047
HAT-P-37 b,HAT-P-37,Transit,2011.0,2.797436,13.204,371.528,5500.0,390.594
HD 129445 b,HD 129445,Radial Velocity,2009.0,1840.0,13.3,797.74930157,5646.0,67.4386
Kepler-419 c,Kepler-419,Transit Timing Variations,2014.0,675.47,12.6,2320.1,6430.0,1011.36
HD 70573 b,HD 70573,Radial Velocity,2007.0,851.8,12.8,1900.0,5737.0,59.182
HD 47536 b,HD 47536,Radial Velocity,2002.0,712.13,12.6,2330.0,4380.0,122.536
WASP-67 b,WASP-67,Transit,2012.0,4.61442,12.89035,136.6669,5200.0,189.469
CoRoT-14 b,CoRoT-14,Transit,2010.0,1.51214,12.22,2415.4,6035.0,1744.6
Kepler-419 b,Kepler-419,Transit,2014.0,69.7546,10.8,794.5,6430.0,1011.36
HD 24040 b,HD 24040,Radial Velocity,2006.0,3668.0,12.9,1589.142035,5802.0,46.6224
HD 11964 c,HD 11964,Radial Velocity,2008.0,37.91,5.38,25.0,5303.0,33.5369
CoRoT-6 b,CoRoT-6,Transit,2009.0,8.886593,13.068,940.74,6090.0,645.294
WASP-31 b,WASP-31,Transit,2010.0,3.4059096,17.363,151.916,6302.0,383.829
HD 108236 f,HD 108236,Transit,2021.0,29.54115,2.017,4.72,5660.0,64.5978
Kepler-59 c,Kepler-59,Transit,2012.0,17.9801235,1.98,3.81,6074.0,1163.22
Kepler-58 c,Kepler-58,Transit,2012.0,15.5741568,2.86,53.0,5843.0,969.252
HD 154857 c,HD 154857,Radial Velocity,2014.0,3452.0,13.2,819.97,5605.0,63.4482
Kepler-51 c,Kepler-51,Transit,2012.0,85.312,9.0,4.0,6018.0,783.831
BD-210397 c,BD-210397,Radial Velocity,2023.0,6240.0,12.9,1525.5763536,4051.0,23.7324
Kepler-62 c,Kepler-62,Transit,2013.0,12.4417,0.54,4.0,4925.0,300.874
Kepler-62 b,Kepler-62,Transit,2013.0,5.714932,1.31,9.0,4925.0,300.874
GJ 667 C b,GJ 667 C,Radial Velocity,2012.0,7.203,2.25,5.68,3350.0,7.24396
HD 168443 c,HD 168443,Radial Velocity,2000.0,1753.1096,12.2,5500.33841154,5491.0,39.6245
Kepler-59 b,Kepler-59,Transit,2012.0,11.8681707,1.1,4.1,6074.0,1163.22
Kepler-53 b,Kepler-53,Transit,2012.0,18.6489525,2.89,111.0,5858.0,1366.07
HD 82943 c,HD 82943,Radial Velocity,2003.0,220.078,13.4,622.603,5935.0,27.5902
HD 82943 b,HD 82943,Radial Velocity,2003.0,441.47,13.5,534.25,5935.0,27.5902
Kepler-69 b,Kepler-69,Transit,2013.0,13.722341,2.24,5.65,5638.0,730.625
HIP 5158 c,HIP 5158,Radial Velocity,2011.0,9017.76,12.2,4780.1632,4813.0,51.6026
HU Aqr AB b,HU Aqr,Eclipse Timing Variations,2011.0,2390.0,12.8,1875.197,5952.0,192.19807871
Kepler-37 e,Kepler-37,Transit Timing Variations,2014.0,51.196,0.37,8.1,5288.0,63.9207
Kepler-65 d,Kepler-65,Transit,2012.0,8.13123,1.52,4.14,6211.0,303.728
Kepler-52 c,Kepler-52,Transit,2012.0,16.3850021,1.84,45.4,4075.0,321.542
Kepler-55 b,Kepler-55,Transit,2012.0,27.9481449,2.43,43.0,4362.0,578.796
Kepler-413 b,Kepler-413,Transit,2014.0,66.262,4.347,67.0,4700.0,847.536
WASP-14 b,WASP-14,Transit,2008.0,2.24375,15.46842,2809.6172,6475.0,161.997
HAT-P-2 b,HAT-P-2,Transit,2007.0,5.6335158,10.659759,2866.81223114,6380.0,127.774
HAT-P-42 b,HAT-P-42,Transit,2012.0,4.641878,14.348,331.801,5743.0,405.238
WASP-59 b,WASP-59,Transit,2012.0,7.919585,8.687,274.276,4650.0,115.936
HAT-P-39 b,HAT-P-39,Transit,2012.0,3.54387,17.609,190.372,6430.0,697.004
alf Ari b,alf Ari,Radial Velocity,2010.0,380.8,13.4,572.07,4553.0,20.21019
KOI-55 b,KOI-55,Orbital Brightness Modulation,2011.0,0.240104,0.759,0.44,27730.0,1231.02
GJ 536 b,GJ 536,Radial Velocity,2016.0,8.70874,2.41,6.37,3641.0,10.4092
WTS-2 b,WTS-2,Transit,2014.0,1.0187068,15.277867,355.9696,5000.0,1030.76834437
KELT-6 c,KELT-6,Radial Velocity,2015.0,1276.0,13.0,1179.1493,6272.0,240.726
KOI-55 c,KOI-55,Orbital Brightness Modulation,2011.0,0.342887,0.867,0.655,27730.0,1231.02
Kepler-38 b,Kepler-38,Transit,2012.0,105.599,4.3,122.0,5623.0,1174.59
Kepler-30 d,Kepler-30,Transit,2012.0,143.34394,8.8,23.1,5498.0,914.221
HD 27894 b,HD 27894,Radial Velocity,2005.0,18.01939,14.1,196.73578393,4875.0,43.8214
Kepler-50 c,Kepler-50,Transit,2012.0,9.37647,2.17,8.2,6225.0,250.11
HD 233604 b,HD 233604,Radial Velocity,2013.0,192.0,12.7,2089.644,4791.0,847.058
Kepler-63 b,Kepler-63,Transit,2013.0,9.4341505,6.11,120.0,5576.0,194.033
Kepler-77 b,Kepler-77,Transit,2013.0,3.57878087,10.761,136.661,5520.0,639.411
HAT-P-44 c,HAT-P-44,Radial Velocity,2014.0,872.2,13.0,1271.3,5295.0,347.85
HATS-5 b,HATS-5,Transit,2014.0,4.763387,10.223,75.323,5304.0,246.384
WTS-1 b,WTS-1,Transit,2012.0,3.352057,16.7,1274.44,6250.0,2346.01
HD 11506 d,HD 11506,Radial Velocity,2022.0,26500.0,12.3,4068.2036096,6123.0,51.261
CoRoT-26 b,CoRoT-26,Transit,2013.0,4.20474,14.12,165.26,5590.0,1045.18
CoRoT-25 b,CoRoT-25,Transit,2013.0,4.86069,12.11,85.81,6040.0,1103.48
Kepler-186 b,Kepler-186,Transit,2014.0,3.8867907,1.07,1.24,3788.0,177.594
91 Aqr b,91 Aqr,Radial Velocity,2013.0,181.4,13.1,1017.0,4665.0,44.0304
GJ 163 b,GJ 163,Radial Velocity,2013.0,8.63182,3.25,10.6,3500.0,15.1285
Kepler-27 c,Kepler-27,Transit,2011.0,31.3309,4.9,4385.87,5400.0,1044.36
Kepler-27 b,Kepler-27,Transit,2011.0,15.3348,4.0,2895.31,5400.0,1044.36
HD 215497 c,HD 215497,Radial Velocity,2009.0,566.0,13.0,111.23994245,5113.0,40.5468
Kepler-186 d,Kepler-186,Transit,2014.0,13.342996,1.4,2.54,3788.0,177.594
Kepler-11 d,Kepler-11,Transit,2010.0,22.6845,3.12,7.3,5663.0,646.346
Kepler-11 b,Kepler-11,Transit,2010.0,10.3039,1.8,1.9,5663.0,646.346
Kepler-31 c,Kepler-31,Transit,2011.0,42.6318,5.3,1493.7,6340.0,1664.64
Kepler-32 c,Kepler-32,Transit,2011.0,8.7522,2.0,158.9,3900.0,323.847
Kepler-1735 b,Kepler-1735,Transit,2021.0,7.71792984,1.19429134,1.84,3975.0,245.303
HD 66141 b,HD 66141,Radial Velocity,2012.0,480.5,12.8,1906.9,4323.0,68.1509
HD 208527 b,HD 208527,Radial Velocity,2012.0,875.5,12.5,3146.4,4035.0,312.202
GJ 163 c,GJ 163,Radial Velocity,2013.0,25.63058,2.5,6.8,3500.0,15.1285
GJ 163 d,GJ 163,Radial Velocity,2013.0,603.95116,5.92,29.4,3500.0,15.1285
Kepler-32 d,Kepler-32,Transit,2012.0,22.7802,2.7,39.9089,3900.0,323.847
Kepler-31 d,Kepler-31,Transit,2014.0,87.6451,3.9,2161.244,6340.0,1664.64
HAT-P-45 b,HAT-P-45,Transit,2014.0,3.128992,15.984,283.492,6330.0,298.64
HAT-P-44 b,HAT-P-44,Transit,2014.0,4.301219,13.922,111.871,5295.0,347.85
HAT-P-27 b,HAT-P-27,Transit,2011.0,3.039577,11.43,197.05,5316.0,199.173
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,Astrometry,2013.0,246.36,11.9,9057.77,,20.77
HIP 63242 b,HIP 63242,Radial Velocity,2013.0,124.6,12.5,2917.56,4830.0,156.456
Kepler-31 b,Kepler-31,Transit,2011.0,20.8613,5.5,36.7418,6340.0,1664.64
Kepler-32 f,Kepler-32,Transit,2012.0,0.74296,0.82,969.228,3900.0,323.847
HD 66428 c,HD 66428,Radial Velocity,2021.0,10478.84437,13.5,560.64930995,5716.0,53.2817
Kepler-424 c,Kepler-424,Radial Velocity,2014.0,223.3,12.7,2215.18,5460.0,698.646
HD 190984 b,HD 190984,Radial Velocity,2009.0,4885.0,13.0,1137.82569706,5988.0,148.187
Kepler-134 c,Kepler-134,Transit,2014.0,10.105785,1.26,2.13,5983.0,334.797
Kepler-210 b,Kepler-210,Transit,2014.0,2.453234,2.94,8.96,4559.0,232.75
Kepler-422 b,Kepler-422,Transit,2014.0,7.8914483,12.89,136.66,5972.0,722.795
Kepler-426 b,Kepler-426,Transit,2014.0,3.21751883,12.22,108.06,5725.0,843.695
Kepler-16 b,Kepler-16,Transit,2011.0,228.776,8.4493,105.833,4450.0,75.0852
KOI-94 d,KOI-94,Transit,2013.0,22.342989,11.27,106.0,6182.0,477.052
KOI-94 b,KOI-94,Transit,2013.0,3.743208,1.71,10.5,6182.0,477.052
Kepler-35 b,Kepler-35,Transit,2011.0,131.458,8.16,40.363,5606.0,1819.17
HD 103774 b,HD 103774,Radial Velocity,2013.0,5.8881,13.3,116.0,6489.0,56.4089
HD 109271 b,HD 109271,Radial Velocity,2013.0,7.8543,4.31,17.162,5783.0,55.8716
Kepler-415 c,Kepler-415,Transit Timing Variations,2014.0,8.708,2.01,4.7,4362.0,530.487
HD 50554 b,HD 50554,Radial Velocity,2002.0,1293.0,12.8,1859.29618095,5987.0,31.1664
Kepler-428 b,Kepler-428,Transit,2014.0,3.52563254,12.11,403.63,5150.0,686.284
Kepler-425 b,Kepler-425,Transit,2014.0,3.79701816,10.962,79.45,5170.0,646.647
WASP-70 A b,WASP-70 A,Transit,2014.0,3.7130203,13.047,187.512,5763.0,222.355
KOI-94 e,KOI-94,Transit,2013.0,54.32031,6.56,35.0,6182.0,477.052
Kepler-396 c,Kepler-396,Transit,2013.0,88.505,5.3,17.9,5656.0,223.757
HD 183263 b,HD 183263,Radial Velocity,2004.0,624.87404,13.1,1103.1824007,5948.0,54.1955
HD 166724 b,HD 166724,Radial Velocity,2012.0,5144.0,13.0,1207.7479466,5127.0,45.1342
Kepler-122 f,Kepler-122,Transit Timing Variations,2014.0,56.268,1.75,36.0,5917.0,1027.45
Kepler-96 b,Kepler-96,Transit,2014.0,16.2385,2.67,8.46,5690.0,122.881
KOI-13 b,KOI-13,Transit,2011.0,1.763588,16.948008,2949.4624,7650.0,519.096
Kepler-17 b,Kepler-17,Transit,2011.0,1.4857108,14.68,778.65,5781.0,720.753
TOI-7510 d,TOI-7510,Transit,2025.0,48.864468,10.52,190.0,5720.0,249.006
CoRoT-23 b,CoRoT-23,Transit,2011.0,3.6313,11.77,889.9,5900.0,1060.97
BD+20 274 b,BD+20 274,Radial Velocity,2012.0,578.2,13.0,1334.886,4296.0,1322.51
HD 219415 b,HD 219415,Radial Velocity,2012.0,2093.3,13.8,317.83,4820.0,165.184
HD 150706 b,HD 150706,Radial Velocity,2012.0,5894.0,13.3,772.32302901,5961.0,28.2697
Kepler-414 c,Kepler-414,Transit Timing Variations,2014.0,7.171,3.01,29.9,5536.0,413.46
HD 3167 e,HD 3167,Radial Velocity,2022.0,96.63,2.83,8.41,5261.0,47.2899
Kepler-42 c,Kepler-42,Transit,2011.0,0.45328509,0.73,60.337,3068.0,40.0595
Kepler-33 c,Kepler-33,Transit,2011.0,13.17562,3.2,0.39,5904.0,1209.16
Kepler-641 b,Kepler-641,Transit,2016.0,9.48961571,1.85,4.08,5713.0,969.918
Kepler-410 A b,Kepler-410 A,Transit,2013.0,17.833648,2.838,8.44,6273.0,147.527
Kepler-314 c,Kepler-314,Transit,2014.0,5.960392,2.9,8.75,5378.0,268.881
HD 168863 b,HD 168863,Radial Velocity,2022.0,14773.93272,12.7,2154.87659946,4905.0,39.8979
Kepler-415 b,Kepler-415,Transit Timing Variations,2014.0,4.176,1.21,119.9,4362.0,530.487
Kepler-338 e,Kepler-338,Transit Timing Variations,2014.0,9.341,1.56,8.5,5999.0,552.798
Kepler-33 e,Kepler-33,Transit,2011.0,31.7844,4.02,5.57,5904.0,1209.16
Kepler-33 b,Kepler-33,Transit,2011.0,5.66793,1.74,3.68,5904.0,1209.16
Kepler-46 c,Kepler-46,Transit Timing Variations,2012.0,57.011,13.5,119.499,5155.0,777.06
Kepler-318 b,Kepler-318,Transit,2014.0,4.662715,4.71,19.9,5746.0,489.141
Kepler-314 b,Kepler-314,Transit,2014.0,2.461069,0.83,0.498,5378.0,268.881
Kepler-46 b,Kepler-46,Transit,2012.0,33.60134,9.057,1907.0,5155.0,777.06
Kepler-130 c,Kepler-130,Transit,2014.0,27.50868,2.9,8.75,5879.0,316.663
Kepler-418 b,Kepler-418,Transit,2014.0,86.67856,13.45,349.6112477,5820.0,1002.53
Kepler-33 f,Kepler-33,Transit,2011.0,41.02902,4.46,9.6,5904.0,1209.16
Kepler-33 d,Kepler-33,Transit,2011.0,21.77596,5.35,3.91,5904.0,1209.16
HD 155358 c,HD 155358,Radial Velocity,2007.0,391.9,13.9,261.0,5900.0,43.6197
Kepler-52 b,Kepler-52,Transit,2012.0,7.8773565,2.1,135.0,4075.0,321.542
Kepler-58 b,Kepler-58,Transit,2012.0,10.2184954,2.78,35.5,5843.0,969.252
HD 183263 c,HD 183263,Radial Velocity,2008.0,4667.97841,12.5,2958.98246917,5948.0,54.1955
HD 187123 b,HD 187123,Radial Velocity,1998.0,3.0965828,14.2,166.218,5790.0,45.9548
V0391 Peg b,V0391 Peg,Pulsation Timing Variations,2007.0,1170.0,13.1,1017.056,29300.0,1195.98
Kepler-62 e,Kepler-62,Transit,2013.0,122.3874,1.61,36.0,4925.0,300.874
HD 197037 b,HD 197037,Radial Velocity,2012.0,1035.7,13.9,251.0,6150.0,33.1944
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,2011.0,10037.5,12.4,3337.1,580.5,23.1
Kepler-269 b,Kepler-269,Transit,2014.0,5.326718,2.47,6.66,5847.0,2257.32
Kepler-300 c,Kepler-300,Transit,2014.0,40.714955,2.25,5.69,5986.0,1098.45
Kepler-149 d,Kepler-149,Transit,2014.0,160.018032,3.96,14.9,5381.0,571.034
Kepler-124 d,Kepler-124,Transit,2014.0,30.950851,1.11,1.41,4984.0,420.046
Kepler-276 d,Kepler-276,Transit,2013.0,48.648,2.8,16.3,5693.0,1144.86
Kepler-114 c,Kepler-114,Transit,2013.0,8.041,1.6,2.8,4660.0,259.533
Kepler-297 b,Kepler-297,Transit,2014.0,38.871826,2.87,48.5,5619.0,692.14
WASP-83 b,WASP-83,Transit,2015.0,4.971252,11.65736,95.349,5510.0,271.103
WASP-89 b,WASP-89,Transit,2015.0,3.3564227,11.65736,1875.197,5130.0,290.946
Kepler-402 c,Kepler-402,Transit,2014.0,6.124821,1.56,3.05,6090.0,625.339
Kepler-157 b,Kepler-157,Transit,2014.0,1.732342,1.32,2.3,5774.0,773.713
HATS-6 b,HATS-6,Transit,2015.0,3.3252725,11.186582,101.38777,3724.0,169.318
Kepler-450 c,Kepler-450,Transit,2015.0,15.413135,2.62,12.5,6197.21,455.982
Kepler-81 c,Kepler-81,Transit,2012.0,12.04,2.37,4.3,4385.0,348.291
Kepler-412 b,Kepler-412,Transit,2014.0,1.7208604,15.031269,299.07803,5750.0,1086.24
Kepler-92 b,Kepler-92,Transit,2013.0,13.749,3.51,64.3,5883.0,477.992
Kepler-288 c,Kepler-288,Transit,2014.0,19.305772,2.85,8.5,5918.0,1194.15
Kepler-295 b,Kepler-295,Transit,2014.0,12.645164,1.22,1.98,5603.0,1699.19
